-algia	pain, suffering
pyel/o	renal pelvis
pyelitis	inflammation of the renal pelvis
Triage	the medical screening of patients to determine their relative priority of need and the proper place of treatment
trauma	wound or injury
viral	pertaining to a virus
virile	masculine; manly
eupnea	normal breathing
tension	pressure
interstitial	between, but not within, the parts of a tissue
Instramuscular	within the muscle
Anatomy	The study of body structure
Physiology	The study of body function
aden/o	gland
adip/o	fat
anter/o	before, in front
midsagittal plane	divides the body into equal right and left sides
sagittal plane	divides body into left and right
transverse plane	horizontal division of the body into upper and lower portions
caud/o	lower part of body, tail
Cephal/o	head
cyt/o, -cyte (root, suffix)	cell
Histology	study of tissues
end-, endo-	within, inside
Proximal	Closer to the point of attachment, near midline
Distal	farther from the origin of a body part or the point of attachment of a limb to the body trunk
Medial	Toward the midline of the body
Lateral	away from the midline
ventral cavity	located along the front of the body, contains the body organs that sustain homeostasis
dorsal cavity	includes the cranial and spinal cavities., back part of body
vertical plane	an up-and-down plane that is a right angle to the horizon
Horizontal Plane (transverse)	divides the body into upper and lower portions. Rotation occurs within the horizontal plane
Anterior (ventral)	front of the body
Superior	Higher on the body, nearer to the head
Inferior	Lowermost, toward the feet
Cephalic	toward the head
Caudal	toward the tail, lower part of body
thoriac cavity	chest
Diaphragm	a dome-shaped, muscular partition separating the thorax from the abdomen in mammals. It plays a major role in breathing, as its contraction increases the volume of the thorax and so inflates the lungs.
epithelial tissue	Tissue that covers outside of the body and lines organs and cavities.
nervous tissue	Tissue that senses stimuli and transmits signals.
connective tissue	A body tissue that provides support for the body and connects all of its parts
muscular tissue	Contracts and moves the various parts of the body.
Homeostasis	A tendency to maintain a balanced or constant internal state; the regulation of any aspect of body chemistry, such as blood glucose, around a particular level (constant control)
Inguinal	groin
hypochondriac region	to the right and left of the epigastric region
epigastric region	located above the stomach
umbilical region	Belly button area
hypogastric region	located below the stomach (near pelvic)
peritoneum	membrane that lines the abdominal cavity
parietal peritoneum	the outer layer of the peritoneum that lines the interior of the abdominal wall
mesentery	a fused double layer of the parietal peritoneum that attaches parts of the intestine to the interior abdominal wall
visceral peritoneum	covers organs
retroperitoneal	located behind the peritoneum
cell membrane	surrounds and protects the cell
Cytoplasm	the portion of the cell outside the nucleus
Nucleus	Structure of cell , controls activities and helps cell divide
stem cells	unspecialized cells that are able to renew themselves for long periods of time by cell division
Gene	a unit of heredity that is transferred from a parent to offspring and is held to determine some characteristic of the offspring.
Genetics	The scientific study of heredity
geneticist	a specialist in genetics
recessive gene	gene that is expressed only in the absence of a dominant gene
Genome	Entire set of genes
epithelial tissue	A body tissue that covers the surfaces of the body, inside and out
muscle tissue	Tissue made of cells capable of contracting.
aplasia	lack of development of an organ or tissue
hypoplasia	incomplete development of an organ or tissue
anaplasia	lack of differentiation
carcin/o	cancer
malignant	harmful
Begnign	harmless
Epidermiologist	specialist in the study of the outbreaks of disease
endemic	(adj.) native or confined to a particular region or people; characteristic of or prevalent in a field
epidemic	A widespread outbreak of an infectious disease.
Pandemic	an epidemic that is geographically widespread
Eti-	cause
epi-	above
postmortem	after death
-trophy	development
angi/o	blood vessel
laryng/o	larynx (voice box)
waterborne	is floating or moving on water.
vector borne	An infection from a bug bite
adenocarcinoma	cancerous tumor of glandular tissue
iatrogenic illness	unfavorable response due to prescribed medical treatment
Thoriacic	chest
Huntington's disease	Genetic disorder that causes progressive deterioration of brain cells. caused by a dominant allele. symptoms do not appear until about the age of 30.
communicable disease	a disease that is spread from one host to another
Hemophilia	a group of hereditary bleeding disorders in which a blood-clotting factor is missing
anomaly	deviation from what is normal
hypertrophy	increase in cell size
exocrine glands	secrete chemical substances into ducts that lead either to other organs or out of the body
stasia	to control
nosocomial infection	hospital acquired infection
Phenylketonuria	a genetic disorder in which an essential digestive enzyme is missing
telemetry	A process in which electronic signals are converted into coded, audible signals; these signals can then be transmitted by radio or telephone to a receiver with a decoder at the hospital.
droplet transmission	the spread of diseases such as measles, cold, and flu through large respiratory droplets sprayed by coughing or sneezing onto a nearby person or object
idiopathic disorder	an illness without known cause
adenectomy	surgical removal of a gland
cystic fibrosis	A genetic disorder that is present at birth and affects both the respiratory and digestive systems.
dense tissue	such as bone and cartilage, form the joints and framework of the body
loose connective tissue	nerve cells and blood vessels are surrounded and supported by this
liquid connective tissue	blood and lymph, transport nutrients and waste products throughout the body
Cytology	study of structure and function of cells
Anterior	front of the body
Posterior (dorsal)	back of body
